,hands_played,pots_won,amount_won,to_inv,net_win,per_hand,vpip_count,inv_count,vpip,% won,avg_p_size,avg_agg,per_hand_inv,avg_player_num,avg_post_num,p_score,f_score,t_score,r_score
kExuS3SxZYRG/oFTl97LzA,3961,248.0,4513.4800000000005,4607.879999999999,-94.39999999999873,-0.02383236556425113,627,1387,0.15829336026255997,0.1788031723143475,18.19951612903226,0.0552890684170664,-0.06806056236481524,8.441807624337288,2.023983842464024,0.04721030042918455,0.004039383993940924,0.002019691996970462,0.002019691996970462
RWey/q2sKCxfwEVYCYkEnA,3946,552.0,7840.36,10107.66,-2267.3,-0.5745818550430817,769,1939,0.19488089204257475,0.2846828261990717,14.203550724637681,0.1563608717688799,-1.1693140794223829,5.543841865179929,1.4168778509883426,0.14597060314242272,0.006842372022301064,0.0035478966041561076,0.0
duD+PaxAvTzLu2m/c3naPg,3936,542.0,6764.8,7611.29,-846.4899999999998,-0.21506351626016254,788,1995,0.20020325203252032,0.27167919799498746,12.481180811808118,0.15091463414634146,-0.42430576441102746,5.439532520325203,1.2690548780487805,0.14405487804878048,0.003048780487804878,0.0027947154471544716,0.0010162601626016261
jYlhb4K4lma4OkeXD6qytg,3866,760.0,7243.51,9565.859999999999,-2322.3499999999985,-0.6007113295395754,923,2378,0.23874806001034662,0.31959629941127,9.530934210526317,0.19374030005173307,-0.9765979814970558,4.683135023279876,1.0519917227108122,0.18468701500258666,0.005690636316606311,0.0020693222969477496,0.0012933264355923435
0ub+V3ikv9jlINmdsWH3yw,3860,529.0,9444.89,11122.759999999997,-1677.8699999999972,-0.43468134715025836,793,1588,0.20544041450777203,0.3331234256926952,17.85423440453686,0.15595854922279792,-1.0565931989924415,7.737046632124352,1.5204663212435232,0.14455958549222797,0.008290155440414507,0.0025906735751295338,0.0005181347150259067
NjwKa8BmaaI6q5YJgb8/4w,3837,736.0,10851.11,14071.09,-3219.9799999999996,-0.8391920771436017,1063,2166,0.2770393536617149,0.3397968605724838,14.74335597826087,0.22283033620015638,-1.486602031394275,5.4545217617930675,1.363304665102945,0.20875684128225175,0.008861089392754757,0.0023455824863174357,0.0028668230388324213
UrTwrEAaR1YxYmHKX0Mpyw,3659,424.0,8917.99,9102.56,-184.5699999999997,-0.0504427439191035,954,1533,0.2607269745832195,0.2765818656229615,21.032995283018867,0.08417600437277944,-0.12039791258969322,8.292976223011753,2.0571194315386716,0.06504509428805684,0.015304728067778082,0.003552883301448483,0.00027329871549603714
JS7hlUybpA9eFszLUIRmOQ,3605,601.0,9976.310000000001,11005.070000000002,-1028.7600000000002,-0.28537031900138704,861,1879,0.23883495145631067,0.31985098456625866,16.599517470881867,0.18585298196948682,-0.5475039914848324,5.48626907073509,1.2693481276005547,0.1739251040221914,0.008044382801664356,0.0027739251040221915,0.0011095700416088765
40Ecgz7hMWFOX49Vxe4HPw,3556,715.0,11502.8,16800.929999999997,-5298.129999999997,-1.4899128233970746,1064,2028,0.2992125984251969,0.3525641025641026,16.08783216783217,0.2314398200224972,-2.6124901380670598,5.333802024746906,1.3371766029246344,0.21316085489313835,0.008998875140607425,0.00562429696287964,0.003655793025871766
u0CkDvclhtrUnFu6YN41ZA,3549,294.0,4502.369999999999,4297.23,205.13999999999942,0.05780219780219764,722,1372,0.20343758805297266,0.21428571428571427,15.314183673469385,0.03944773175542406,0.14951895043731736,8.467173851789237,1.9337841645533953,0.03071287686672302,0.005353620738236123,0.0016906170752324597,0.0016906170752324597
Kh77IxEh/qHudPYcv8aB6w,3468,532.0,8977.81,9194.449999999999,-216.63999999999942,-0.06246828143021898,753,1748,0.2171280276816609,0.30434782608695654,16.875582706766917,0.15253748558246827,-0.12393592677345504,5.805074971164936,1.3794694348327565,0.1375432525951557,0.010957324106113034,0.003748558246828143,0.0002883506343713956
1uadzoMdwLu8ZTizmRA+nQ,3441,486.0,6735.05,8398.810000000001,-1663.7600000000011,-0.4835106073815755,696,1751,0.2022667829119442,0.2775556824671616,13.85812757201646,0.16884626562045918,-0.9501770416904632,5.471083987213019,1.2839290903807032,0.15983725661145015,0.007265329845975007,0.0008718395815170009,0.0008718395815170009
jM7yDdzcVuT22B+VkCl6Dw,3322,503.0,5774.030000000001,8119.139999999999,-2345.1099999999988,-0.705933172787477,820,1772,0.24683925346177002,0.28386004514672686,11.479184890656065,0.12191450933172787,-1.3234255079006765,5.375978326309452,1.3527995183624322,0.11318482841661649,0.005117399157134257,0.002107164358819988,0.0015051173991571343
SETY3lm1+VCpbLSmIRD8Fg,3317,422.0,6019.7,7939.26,-1919.5600000000004,-0.5787036478745856,671,1238,0.20229122701236057,0.3408723747980614,14.264691943127962,0.14199577931866145,-1.5505331179321489,8.303587579137774,1.737111848055472,0.13264998492613808,0.004522158577027435,0.003919204100090443,0.0009044317154054868
